No.,Channel Name,Receive Frequency,Transmit Frequency,Channel Type,Transmit Power,Band Width,CTCSS/DCS Decode,CTCSS/DCS Encode,Contact,Contact Call Type,Radio ID,Busy Lock/TX Permit,Squelch Mode,Optional Signal,DTMF ID,2Tone ID,5Tone ID,PTT ID,Color Code,Slot,Scan List,Receive Group List,TX Prohibit,Reverse,Simplex TDMA,TDMA Adaptive,AES Encryption,Digital Encryption,Call Confirmation,Talk Around,Work Alone,Custom CTCSS,2TONE Decode,Ranging,Through Mode,Digi APRS RX,Analog APRS PTT Mode,Digital APRS PTT Mode,APRS Report Type,Digital APRS Report Channel,Correct Frequency[Hz],SMS Confirmation,DMR MODE,Exclude channel from roaming
,WR3IRS (70cm),440.650,445.650,D-Digital,High,12.5K,Off,Off,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,W3WAN (70cm),441.700,446.700,A-Analog,High,12.5K,74.4,74.4,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,74.4,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,W3QV (2m),147.030,147.630,A-Analog,High,12.5K,91.5,91.5,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,91.5,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,W3QV (70cm),444.800,449.800,A-Analog,High,12.5K,Off,Off,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,WA2WUN (2m),147.225,147.825,A-Analog,High,12.5K,192.8,192.8,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,192.8,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,K3PDR (70cm),447.625,442.625,D-Digital,High,12.5K,Off,Off,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,KB6XN (70cm),445.700,440.700,D-Digital,High,12.5K,Off,Off,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,WN9ANF (70cm),448.075,443.075,A-Analog,High,12.5K,127.3,88.5,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,88.5,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,KK7AV (70cm),449.475,444.475,A-Analog,High,12.5K,114.8,88.5,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,88.5,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,N7ARR (70cm),446.700,441.700,A-Analog,High,12.5K,118.8,88.5,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,88.5,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
